Lema,Frequência
ter,90
haver,53
ser,43
pessoa,40
altura,39
ir,35
vida,30
avó,30
dia,29
cidade,28
casa,28
ano,28
estar,27
pai,26
trabalhar,23
banco,23
gente,23
praia,23
gostar,21
tínhamos,21
campo,21
muito,20
ficar,19
mãe,19
fazer,19
portugal,19
coisa,18
euro,17
hoje,17
avô,17
íamos,16
viver,15
querer,15
algum,15
guerra,14
angola,14
balcão,14
começar,13
nascer,13
passar,13
pronto,13
poder,13
guimarães,13
hospital,12
quase,12
diferente,12
andar,12
milho,12
entretanto,11
santander,11
porto,11
tunísia,11
chamar,11
trabalho,11
conseguir,11
pequeno,10
irmão,10
barco,10
irmã,10
mar,10
dinheiro,10
bom,10
vim,10
banca,10
velho,10
trazer,10
mesmo,9
acabar,9
senhora,9
ninguém,9
bonito,9
médico,9
homem,9
antigamente,9
entrar,9
vir,9
tarefa,9
bocadinho,9
jogar,9
levar,9
rua,9
cabinda,8
star,8
árabe,8
cliente,8
moeda,8
autocarro,8
precisar,8
memória,8
dar,8
de ele,8
wars,8
brincar,8
noite,8
havia,8
hora,8
água,8
falar,8
praticamente,7
regressar,7
voltar,7
calhar,7
mau,7
claro,7
barato,7
vender,7
judeu,7
saber,7
carreira,7
brasil,7
pensar,7
computador,7
sítio,7
deixar,7
achar,7
terra,7
ajudar,7
transferência,6
serviço,6
saí,6
país,6
evoluir,6
bola,6
ordenado,6
brincadeira,6
rapaz,6
real,6
reserva,6
ideia,6
sair,6
fotografia,6
falecer,6
cabo,6
fiz,6
militar,6
antigo,6
professora,6
leite,6
dizer,6
escola,6
batata,6
chegar,6
pão,6
época,6
outro,5
pergunta,5
contar,5
perna,5
rapariga,5
morar,5
marinha,5
casar,5
pé,5
mundial,5
problema,5
existir,5
dificuldade,5
mundo,5
automóvel,5
tio,5
conta,5
brasileiro,5
feliz,5
janeiro,5
filho,5
crédito,5
totta,5
pagar,5
série,5
banho,5
posto,5
normal,5
matosinhos,5
lobito,5
continuar,5
marinheiro,4
morrer,4
buscar,4
castanha,4
inglês,4
educação,4
único,4
ridículo,4
comprar,4
ver,4
básico,4
português,4
demasiado,4
família,4
aprender,4
consultório,4
durante,4
zona,4
gastar,4
casca,4
tanto,4
crescer,4
filha,4
viagem,4
abrir,4
desfilhar,4
nome,4
tatooine,4
realmente,4
pedir,4
vaca,4
petróleo,4
muitas,4
abril,4
capitania,4
dezembro,4
silva,4
comíamos,4
gerente,4
movimento,4
domingo,4
inverno,4
funcionar,4
shoppings,4
tratar,4
verde,4
fazíamos,4
lembrar,4
deslocar,4
amigo,4
centro,4
nenhum,4
dever,4
carro,4
éramos,4
cama,4
clínica,4
pôr,4
alguém,4
infância,4
passo,4
tomar,4
normalmente,4
correr,4
manhã,4
bocado,4
disco,4
mudar,4
dançar,4
leixões,4
maneira,4
respeito,4
saudade,4
labrador,3
gostavas,3
de aquele,3
erva,3
beber,3
festa,3
bacalhau,3
bisavô,3
internet,3
idade,3
alegria,3
último,3
luz,3
douro,3
semana,3
terreno,3
fiquei,3
setembro,3
descansar,3
principalmente,3
estudar,3
caso,3
pastelaria,3
mostra,3
cêntimo,3
bicicleta,3
verão,3
cm,3
livro,3
comando,3
campismo,3
meia,3
perigoso,3
jantar,3
praça,3
