Noun Chunk,Frequência
as pessoas,17
a avó,12
a minha mãe,10
as coisas,9
o que,8
toda a gente,7
o meu pai,7
o campo,7
minha vida,6
a maior parte,6
um bocadinho,6
a tua avó,6
a praia,5
a tunísia,5
o avô,5
o milho,4
uma série,4
a casa,4
um ano,4
o porto,4
12 euros,4
o lobito,4
muita gente,4
as senhoras,3
a gente,3
e o,3
outra vez,3
as raparigas,3
teu avô,3
alguma coisa,3
um balcão,3
muita coragem,3
a cidade,3
a transferência,3
o teu avô,3
silva porto,3
algumas coisas,2
o meu avô,2
uma parte,2
todos os anos,2
a diferença,2
os deveres,2
o avó,2
o pão,2
tanta gente,2
mais de 20 cêntimos,2
um dia,2
o trabalho,2
a memória mais antiga,2
qualquer coisa,2
os rapazes,2
alguma tarefa,2
a casca,2
no campo,2
as espigas,2
meu pai,2
mais de 20 cm,2
foi o meu pai,2
os camarões,2
o leite,2
os efeitos especiais,2
 para espanha,2
os bolos,2
as camas,2
meio ano,2
500 euros,2
os brasileiros,2
as castanhas,2
a conta,2
as viagens,2
o dinheiro,2
a canalha,2
países árabes,2
o nome,2
os judeus,2
segunda guerra mundial,2
a vida,2
duas irmãs,2
os jogos,2
 graças a deus,2
ao cabo,2
a unha,2
os nossos pais,2
o cinema,2
os fuzileiros,2
muito pelo contrário,2
a banca,2
a minha avó,2
banco totta standard,2
três anos,2
o balcão,2
muito movimento,2
o santander,2
o santander empresas,2
os shoppings,2
e com espaços verdes,2
esse hospital,2
os pais,2
o consultório,2
o hospital,2
as nossas brincadeiras,1
o terreiro,1
a bola,1
 às escondidas,1
 com tanto trabalho,1
o dia,1
a comida,1
o dia seguinte,1
o posto,1
os avós,1
nem o avô,1
nem a avó,1
nem em brincadeiras,1
 mas era mais o avô,1
quanto às tarefas,1
era um bocadinho,1
e no campo,1
os animais,1
 sachar milho,1
" por exemplo, tomates",1
uma época,1
ou alguma,1
de ser com mais frequência,1
o ano,1
quatro estações,1
quase nada,1
menos trabalho,1
a época,1
ano mais trabalhosa,1
 do vinho,1
quando é essa altura,1
mais ou menos,1
em setembro,1
terrenos mais secos,1
essa época,1
 mas em outros terrenos,1
terra mais húmida,1
outros terrenos,1
às raparigas,1
os piores trabalhos,1
porque é que eram sempre piores trabalhos,1
do que com os rapazes,1
a praça,1
o tio,1
melhores condições,1
os labradores,1
a sesta,1
ao trabalho,1
as piores eram em casa,1
tanto eu,1
mais duas tias,1
a sopa,1
porque era a hora,1
as pernas,1
fim de tanto trabalhar no campo,1
as máscaras,1
 era sempre uma festa,1
o meio,1
os gira discos,1
uma janela,1
todo dia,1
uma fogueira,1
as cascas,1
aquelas cascas,1
muito rancho folclórico,1
mas era uma alegria,1
tudo aquilo,1
" por exemplo, bacalhau",1
o bacalhau,1
como é que era naquela altura,1
os professores,1
a professora,1
as palavras,1
100 vezes,1
os livros,1
uma dúzia,1
o quarto,1
um candeeiro,1
o azar,1
aquela professora,1
a escola,1
o quarto ano,1
quase oito anos,1
os meus primos,1
senhora professora,1
era 2ª rapariga,1
meus irmãos mais pequenos,1
o que é que acha que acabaria por fazer,1
"pronto, e penúltima pergunta",1
nem as palmadas,1
as crianças,1
a sua infância,1
 mas muita coisa,1
como o quê,1
pessoas mais velhas,1
as tuas sobrinhas,1
minha filha,1
a orelha,1
outra maneira,1
essa maneira,1
é a educação,1
e nunca na vida,1
o teu pai,1
minha mãe-,1
 é verdade,1
e os teus tios,1
a mesma educação,1
a educação,1
são outros tempos,1
o melhor,1
meu falecido avô,1
em matosinhos,1
as canetas,1
sítio certo,1
o boné,1
tudo nós,1
16 anos,1
a vida toda,1
disciplina nenhuma,1
outra memória,1
é com o meu pai,1
o palácio,1
 com a minha mãe,1
 aos 4 anos deidade,1
o meu pé,1
"as, as minhas memórias",1
mais eue,1
 as festas,1
os estacos,1
um taco,1
uma bola,1
é um taco diferente,1
uma cor diferente,1
formo sócio de leixões,1
uma cota,1
de ser ele,1
2 equipas,1
foi o,1
um emprego,1
uma loja,1
uns anos,1
outras coisas,1
minha mãe,1
 água gelada,1
estamos na praia,1
o sol,1
todos os dias,1
o tempo,1
de ossos,1
 de meio,1
que estivesse todos os dias,1
alguma memória,1
mais atenção,1
entre 30 homens,1
temporal muito grande,1
para para o mar,1
o nuno,1
muitos navios,1
o mau tempo,1
o mar,1
muitas vidas,1
"e, o, e os colegas",1
também marinheiros,1
a água,1
a noite,1
um diploma,1
muito orgulho,1
covos náufragos,1
um barquinho,1
os barcos,1
"claro, portanto, não, não é os dias",1
sempre foi um homem,1
meu avô,1
primeira guerra mundial no,1
 em áfrica,1
tive foi o barco,1
um submarino alemão,1
a fragata portuguesa,1
8 dias,1
não é só com as rações,1
uma fragata inglesa,1
quase a pão,1
últimos dias,1
completo desespero,1
esse esses 7 dias,1
o barco,1
esse sentimento,1
20 cm,1
uma fita métrica,1
uma multa,1
a multa,1
uma praia,1
aquela praia,1
senhoras inglesas,1
 para a capitania,1
"seria hoje, talvez um tenente",1
um bom posto militar,1
 de leixões,1
muita dificuldade,1
dificuldade nenhuma,1
estava com orgulho,1
dos feitos,1
poucos combates,1
primeira guerra mundial,1
 mas uma coisa,1
água quente,1
vida toda,1
água fria,1
era água quente,1
a importância,1
é o meu pai,1
já estava se é demente nesta fotografia,1
 meu pai,1
uma cara,1
 mas nunca foi mau má pessoa,1
aquele cara,1
um bocado sisudo,1
 do defeito,1
foi uma alegria muito grande para a minha mãe e para o meu pai,1
o primeiro netinho,1
alguma saudade,1
esta fotografia,1
uns tempos,1
 de intervalo,1
 entre primeiro foi a minha mãe,1
depois a minha mãe,1
e o meu pai,1
as minhas irmãs,1
 a maria josé,1
 a visita de,1
 da praxe,1
a minha irmã,1
"os, os dias",1
com o meu pai,1
fim de semana,1
em alegria,1
mesmo tempo,1
porque já era uma fase muito chata,1
a fotografia,1
muitas medalhas,1
principalmente na primeira guerra mundial,1
depois para cabo,1
 do era um militar,1
com carreira prática,1
lá na guerra,1
não é ele,1
não esteve só na capitania,1
foi a salvação,1
 da rua,1
com a,1
a mulher,1
a única coisa,1
o estado,1
 a minha avó,1
e a minha mãe,1
as filas,1
as senhas,1
 da racionalizadas,1
 mas o resto,1
era um homem sisudo,1
era um homem,1
alguma vez gostavas,1
os passos,1
reserva territorial,1
 à espera,1
a carta,1
a reserva,1
o prazo,1
 do meu voluntariado,1
eram tantos,1
quase um sorteio,1
alguma desistência,1
a reserva territorial,1
"e não, não fui à tropa",1
 mas foi daqueles,1
a marinha,1
meus sobrinhos,1
é comando,1
é sargento,1
comando paraquedista,1
na carreira,1
sempre que disseste,1
tudo o que querias dizer a toda a gente,1
tua rua,1
quando eras mais novo,1
 entre os a primária,1
o secundário,1
casa cedo,1
casa muito cedo,1
uns amigos,1
 mas basicamente estávamos sempre na praia,1
12 meses,1
era a praia,1
um barco,1
as ondas,1
muitos quilómetros,1
 para a arrábida andar,1
"lembro-me, era uma vida diferente",1
os nossos passatempos,1
as percebas,1
os caranguejos,1
algum dinheiro,1
era uma aquele tipo,1
de entretenimento,1
também para as corridas,1
os automóveis,1
o fim,1
as tendas,1
e sempre um adulto,1
 para estar connosco,1
porque era três dias,1
a polícia,1
 com a diversão,1
 dos condutores,1
muito campismo,1
para o douro,1
as discotecas,1
" na, em baiona",1
 e eu,1
noutros sítios,1
o star wars,1
star wars,1
aquela marca,1
minha geração toda,1
" dos, dos filmes",1
era o star,1
na memória,1
os computadores,1
o spectrum juntávamos,1
minha casa,1
ou em casa,1
outro amigo,1
 nas tabacarias,1
 com linhas,1
códigos básicas,1
fomos leitores,1
hoje em dia,1
o comodor 64,1
a coisa,1
