Verbo,Frequência
ter,73
haver,53
trabalhar,23
ir,21
tínhamos,21
gostar,21
ficar,19
fazer,18
viver,15
querer,15
começar,13
nascer,13
poder,13
andar,11
íamos,11
conseguir,11
chamar,11
passar,11
trazer,10
vim,10
acabar,9
levar,9
jogar,9
entrar,9
vir,9
dar,8
brincar,8
falar,8
precisar,8
havia,8
vender,7
regressar,7
voltar,7
achar,7
calhar,7
saber,7
ajudar,7
deixar,7
pensar,7
estar,6
falecer,6
sair,6
dizer,6
chegar,6
fiz,6
casar,5
continuar,5
ser,5
existir,5
morar,5
contar,5
pagar,5
saí,5
mudar,4
gastar,4
fazíamos,4
funcionar,4
deslocar,4
comíamos,4
pedir,4
correr,4
abrir,4
crescer,4
dançar,4
aprender,4
tratar,4
comprar,4
pôr,4
morrer,4
lembrar,4
ver,4
buscar,4
evoluir,4
ganhar,3
conhecer,3
saíamos,3
levantar,3
obrigar,3
vier,3
descansar,3
criar,3
conheci,3
fiquei,3
desfilhar,3
aparecer,3
acontecer,3
arranjar,3
beber,3
salvar,3
vês,3
comer,3
estudar,3
fiqueer,3
éramos,3
cozir,2
matar,2
voluntariar,2
irmos,2
faltar,2
afundar,2
cortar,2
nadar,2
multar,2
cozinhar,2
chamávar,2
ralhar,2
olhar,2
parar,2
partir,2
servir,2
promover,2
andámos,2
assávamos,2
inventar,2
inspirar,2
acontecia,2
er,2
senter,2
tomar,2
entregar,2
queríamos,2
atingir,2
cultivar,2
tirar,2
parecer,2
calcular,2
procurar,2
responder,2
trouxer,2
dividir,2
subir,2
justificar,2
dever,2
ligar,2
ingressar,2
convidar,2
entrei,2
resolver,2
queixar,2
atender,2
demorar,2
facilitar,2
lançar,2
evoluír,2
porrar,2
requisitar,2
gostavas,2
escassolar,1
estragar,1
cozer,1
tirávamos,1
passávamos,1
relacionar,1
punha,1
perceber,1
trincar,1
mudava,1
der,1
fôssemos,1
encontrar,1
cozíamos,1
vinhr,1
vinham,1
deitar,1
fechar,1
gelar,1
frito,1
ganhei,1
sabiar,1
apaixonar,1
paguar,1
oferecer,1
aprendi,1
fugir,1
batir,1
mexíamo,1
recordar,1
tentar,1
ensinar,1
pôs,1
ferir,1
desidratar,1
afogar,1
rer,1
ressalvar,1
socorrer,1
remos,1
passastar,1
nortarr,1
travar,1
chover,1
interessar,1
controvoar,1
frequentar,1
deixávar,1
semear,1
lavrar,1
crescir,1
vessada,1
esfolhávamos,1
temper,1
dependir,1
verificar,1
apanhar,1
mostrar,1
desistir,1
selecionar,1
recebi,1
seguir,1
partilhar,1
permitir,1
racionar,1
medalhar,1
acamar,1
cair,1
velhito,1
trouxeste,1
assustar,1
acampado,1
passámos,1
vencer,1
fizemos,1
juntar,1
depende,1
arrependes,1
arrependi,1
arreper,1
arrependa,1
percorri,1
dependia,1
lavar,1
conversar,1
referir,1
preparar,1
gostávamos,1
fascinar,1
pertencer,1
comparados,1
digir,1
entreter,1
dormir,1
assistir,1
viajar,1
esconder,1
gastávar,1
pegar,1
jantar,1
apercebi,1
comportar,1
custar,1
enganar,1
ficávamos,1
minto,1
saír,1
consiger,1
paguei,1
comprei,1
meter,1
omprei,1
deves,1
perguntar,1
consigas,1
fluír,1
chatear,1
ficava,1
irei,1
entrevistar,1
orientar,1
entender,1
consultar,1
manter,1
preocupar,1
vocacionar,1
gostava,1
aproveitávamos,1
interromper,1
sabíamos,1
conseguíar,1
quiser,1
sentávar,1
reunir,1
tramado,1
miúdo,1
acabámos,1
guardo,1
sabia,1
morássemos,1
comparar,1
vivíamos,1
mimar,1
destacar,1
transferir,1
referenciar,1
ler,1
houve,1
surja,1
destinar,1
contratar,1
resultar,1
apoiar,1
desejar,1
apetrechar,1
pretender,1
corresponder,1
estivésse,1
pudéssemos,1
reingressar,1
resolvi,1
esperei,1
reintegrar,1
saíste,1
precise,1
somar,1
formar,1
receber,1
licenciar,1
melhorar,1
informar,1
pronunciar,1
adaptar,1
deparei,1
exigir,1
encontras,1
deu,1
dormíamos,1
precisávamos,1
tinham,1
abater,1
escrever,1
porrado,1
começár,1
sentar,1
compor,1
tinhas,1
alugar,1
respeitar,1
colocar,1
disseram,1
aumentaram,1
lixar,1
levávamos,1
tivéssemos,1
costumar,1
decorar,1
acabavámos,1
provocar,1
houver,1
sabes,1
digar,1
almoçar,1
pensei,1
devia,1
chegávamos,1
batíamos,1
discuter,1
confiar,1
distar,1
localizar,1
morámo,1
sabesr,1
complicado,1
vieste,1
comar,1
gosta,1
basta,1
modificar,1
aumentar,1
autoestrar,1
saímos,1
depositar,1
